Občina,Površina km2,Št. naselij,Št. prebivalcev,Moški,Ženske,0-14 let,15-64 let,65+ let,Naravni prirastek,Povprečna bruto plača,Delovno aktivno prebivalstvo,Registrirane brezposelne osebe,Število OŠ,Število osnovnošolcev,Število dijakov,Število študentov,Ustanovitev,Pokrajina,Statistična regija
Škocjan,60.4,39,3241,1642,1599,622,2164,455,13,1470.79,1342,173,2,355,137,103,1994,Dolenjska,Jugovzhodna
Škofja Loka,146,62,22942,11252,11690,3835,14989,4118,69,1593.55,9384,780,8,2136,987,1009,1991,Gorenjska,Gorenjska
Škofljica,43.3,18,10793,5381,5412,2050,7083,1660,65,1285.99,4354,403,3,1000,452,424,1994,Dolenjska,Osrednjeslovenska
Šmarje pri Jelšah,107.7,77,10259,5089,5170,1727,6716,1816,-23,1333.25,4102,619,7,954,393,410,1991,Štajerska,Savinjska
Šmarješke Toplice,34.2,24,3294,1642,1652,545,2183,566,-6,1397.47,1465,102,1,302,126,138,2006,Dolenjska,Osrednjeslovenska
Šmartno ob Paki,18.2,10,3230,1615,1615,496,2217,517,5,1219.53,1360,150,1,301,148,147,2002,Dolenjska,Osrednjeslovenska
Šmartno pri Litiji,94.9,54,5539,2815,2724,876,3716,947,-8,1180.78,2200,243,4,508,256,250,1994,Štajerska,Savinjska
Šoštanj,95.6,11,8673,4456,4217,1311,5845,1517,0,1660.68,3440,454,2,784,351,352,1994,Štajerska,Savinjska
Štore,28.1,12,4229,2108,2121,596,2703,930,-49,1622.08,1583,235,2,376,158,141,1994,Štajerska,Savinjska
Tabor,34.8,7,1643,840,803,289,1068,286,11,1149.7,697,84,1,127,56,74,1998,Štajerska,Savinjska
Tišina,38.8,12,4028,1995,2033,568,2731,729,-16,1390.08,1429,353,2,296,152,137,1994,Prekmurje,Pomurska
Tolmin,382.3,72,11256,5703,5553,1538,7166,2552,-54,1411.53,4212,499,9,856,439,504,1991,Primorska,Goriška
Trbovlje,58,18,16282,7943,8339,2029,10813,3440,-61,1558.06,5712,1441,6,1117,545,568,1991,Štajerska,Zasavska
Trebnje,163.3,133,12438,6337,6101,2133,8402,1903,14,1403.22,5454,554,5,1122,475,513,1991,Dolenjska,Jugovzhodna
Trnovska vas,22.9,7,1354,703,651,244,921,189,0,1373.13,516,47,1,81,40,52,1998,Štajerska,Savinjska
Trzin,8.6,1,3902,1923,1979,690,2425,787,13,1550.69,1560,139,1,423,157,150,1998,Gorenjska,Gorenjska
Tržič,155.4,35,14839,7303,7536,2092,9791,2956,-5,1321.3,5976,733,6,1182,527,491,1991,Gorenjska,Gorenjska
Turnišče,23.8,4,3264,1605,1659,456,2263,545,1,1192.13,1204,299,1,261,106,112,1994,Prekmurje,Pomurska
Velenje,83.5,25,32825,16628,16197,4938,22710,5177,54,1489.26,12651,1993,13,2778,1172,1182,1991,Štajerska,Savinjska
Velika Polana,18.7,3,1449,710,739,197,952,300,-9,1304.35,542,126,1,159,52,56,1998,Prekmurje,Pomurska
Velike Lašče,103.2,88,4286,2174,2112,745,2769,772,32,1204.46,1736,152,3,402,161,177,1994,Dolenjska,Osrednjeslovenska
Veržej,12,3,1291,640,651,184,809,298,4,1327.29,479,61,1,129,51,51,1998,Štajerska,Pomurska
Videm,80,30,5522,2868,2654,739,3927,856,15,1197.11,2382,259,3,405,192,205,1994,Štajerska,Podravska
